pid,bin,iin,name_ru,type_supplier,index_date
1,100000000001,200000000001,Supplier 1,3,2025-11-24
2,100000000002,200000000002,Supplier 2,1,2025-11-24
3,100000000003,200000000003,Supplier 3,1,2025-11-24
4,100000000004,200000000004,Supplier 4,1,2025-11-24
5,100000000005,200000000005,Supplier 5,1,2025-11-24
6,100000000006,200000000006,Supplier 6,2,2025-11-24
7,100000000007,200000000007,Supplier 7,3,2025-11-24
8,100000000008,200000000008,Supplier 8,2,2025-11-24
9,100000000009,200000000009,Supplier 9,3,2025-11-24
10,100000000010,200000000010,Supplier 10,3,2025-11-24
11,100000000011,200000000011,Supplier 11,1,2025-11-24
12,100000000012,200000000012,Supplier 12,1,2025-11-24
13,100000000013,200000000013,Supplier 13,3,2025-11-24
14,100000000014,200000000014,Supplier 14,3,2025-11-24
15,100000000015,200000000015,Supplier 15,1,2025-11-24
16,100000000016,200000000016,Supplier 16,1,2025-11-24
17,100000000017,200000000017,Supplier 17,3,2025-11-24
18,100000000018,200000000018,Supplier 18,1,2025-11-24
19,100000000019,200000000019,Supplier 19,1,2025-11-24
20,100000000020,200000000020,Supplier 20,3,2025-11-24
21,100000000021,200000000021,Supplier 21,1,2025-11-24
22,100000000022,200000000022,Supplier 22,2,2025-11-24
23,100000000023,200000000023,Supplier 23,3,2025-11-24
24,100000000024,200000000024,Supplier 24,2,2025-11-24
25,100000000025,200000000025,Supplier 25,1,2025-11-24
26,100000000026,200000000026,Supplier 26,3,2025-11-24
27,100000000027,200000000027,Supplier 27,3,2025-11-24
28,100000000028,200000000028,Supplier 28,1,2025-11-24
29,100000000029,200000000029,Supplier 29,1,2025-11-24
30,100000000030,200000000030,Supplier 30,2,2025-11-24
31,100000000031,200000000031,Supplier 31,2,2025-11-24
32,100000000032,200000000032,Supplier 32,2,2025-11-24
33,100000000033,200000000033,Supplier 33,2,2025-11-24
34,100000000034,200000000034,Supplier 34,3,2025-11-24
35,100000000035,200000000035,Supplier 35,3,2025-11-24
36,100000000036,200000000036,Supplier 36,3,2025-11-24
37,100000000037,200000000037,Supplier 37,2,2025-11-24
38,100000000038,200000000038,Supplier 38,1,2025-11-24
39,100000000039,200000000039,Supplier 39,3,2025-11-24
40,100000000040,200000000040,Supplier 40,2,2025-11-24
41,100000000041,200000000041,Supplier 41,2,2025-11-24
42,100000000042,200000000042,Supplier 42,1,2025-11-24
43,100000000043,200000000043,Supplier 43,2,2025-11-24
44,100000000044,200000000044,Supplier 44,3,2025-11-24
45,100000000045,200000000045,Supplier 45,1,2025-11-24
46,100000000046,200000000046,Supplier 46,2,2025-11-24
47,100000000047,200000000047,Supplier 47,2,2025-11-24
48,100000000048,200000000048,Supplier 48,2,2025-11-24
49,100000000049,200000000049,Supplier 49,1,2025-11-24
50,100000000050,200000000050,Supplier 50,2,2025-11-24
