pid,supplier_biin,supplier_innunp,supplier_name_ru,supplier_name_kz,kato_list,index_date,system_id
1,552421413677,853295449139,ОАО «Филиппова Орехова»,ИП «Фомичева»,академик,2025-08-21 11:05:54,3
2,821282895303,848981660450,ООО «Николаева»,НПО «Брагин-Михеева»,скрытый,2024-11-05 23:30:42,3
3,420103822047,781071384983,НПО «Субботина-Зыков»,Ширяева Лимитед,устройство,2025-01-21 09:02:53,3
4,942859828762,247340773186,Комос Групп,ИП «Архипов-Рогова»,невозможно,2023-12-03 23:46:00,3
5,717917796952,550760684179,"ИП «Михеев, Ершова и Белозеров»",Агафонова Лтд,пространство,2024-10-15 04:09:56,3
6,434620937435,216738968061,ЗАО «Соколова-Громова»,НПО «Алексеева Меркушев»,голубчик,2023-09-20 21:59:13,3
7,161737511236,237168694121,Нижнекамскнефтехим,ГК ТНС энерго,налоговый,2025-07-23 05:12:53,3
8,363130960823,566323444528,"ООО «Гордеева, Мухина и Михеев»",Первый завод,танцевать,2023-07-09 19:51:02,3
9,810863138868,656160744567,АО «Артемьева-Афанасьев»,"АО «Власова, Егоров и Маслова»",коммунизм,2024-12-17 19:39:51,3
10,471957888000,446400257587,АО «Нестерова»,НПО «Воронцов»,проход,2024-01-01 18:42:15,3
11,803689795862,767019380681,РАО «Боброва Федотова»,Фортум (Fortum),блин,2025-03-14 17:23:04,3
12,624550552977,448296843009,РАО «Фокин»,РАО «Осипов»,салон,2023-07-30 21:12:36,3
13,195741788180,892560973640,ООО «Русаков»,НПО «Комиссарова Ковалева»,а,2025-08-21 04:41:49,3
14,343230069374,992639341094,Гиперглобус (Bruch-Beteiligungs),Группа Черкизово,банда,2025-04-15 19:30:06,3
15,353785830104,232469515198,РАО «Бурова»,Максимов Инкорпорэйтед,кожа,2023-12-30 11:16:18,3
16,350067550340,830715024291,Мишлен (Michelin),Федорова Групп,народ,2023-10-25 01:18:09,3
17,432977791934,239547427324,АО «Ефимов-Борисова»,Сбербанк России,упорно,2023-07-11 23:55:45,3
18,813149721042,773992072127,Зимина Лтд,ИП «Матвеева Гришин»,скрытый,2024-04-27 07:20:25,3
